id,description,category
54,UPI/DR/990011223344/flatrent@hdfcbank/Rent for June,Rent
55,RTGS-MONTHLY RENT CONSIDERATION FOR FLAT B602,Rent
56,IMPS/RENT TO NAVEEN KUMAR OWNER BENGALURU,Rent
57,UPI/DR/665544332211/landlordpay@ybl/Flat Rent,Rent
58,NEFT-RENTAL PAYMENT FOR HIRANANDANI APTS 804,Rent
59,CHQ ISSUED FOR RENT CONSIDERATION MR SHARMA,Rent
60,UPI-RENT PAYMENT TO OWNER VIKAS GUPTA-vikas@sbi,Rent
61,UPI/DR/418291029381/blinkit@kotak/Blinkit Delivery,Groceries
62,UPI-ZEPTO-zepto@hdfc-882718291823,Groceries
63,UPI/DR/554433221100/bigbasket@hdfcbank/BigBasket Retail,Groceries
64,POS 412345XXXXXX1234 RELIANCE RETAIL FRESH BANGALORE,Groceries
65,POS 512345XXXXXX5678 NATURES BASKET INDIRANAGAR,Groceries
66,UPI/DR/992288112233/dmart@icici/Avenue Supermarts DMart,Groceries
67,UPI-SWIGGYINSTAMART-instamart@icici-Groceries Order,Groceries
68,POS MORE RETAIL SUPERMARKET WHITEFIELD,Groceries
69,UPI/DR/778899001122/spencer@axis/Spencer Retail Store,Groceries
70,UPI/DR/887766554433/namdhari@kotak/Namdhari Fresh Veggies,Groceries
71,UPI-KIRANA STORE-kirana98@okicici-Vegetables and Milk,Groceries
72,POS FOODWORLD SUPERMARKET KORAMANGALA,Groceries
73,UPI/DR/123456789012/countrydelight@icici/Daily Milk Delivery,Groceries
74,POS LULU HYPERMARKET RAJAJINAGAR BENGALURU,Groceries
75,UPI-DUNZO DAILY-dunzo@axisbank-Grocery Items Delivery,Groceries
76,POS STAR BAZAAR TRENT HYPERMARKET KORAMANGALA,Groceries
77,UPI/DR/334411225566/freshtohome@icici/Fresh Fish & Meat,Groceries
78,POS RATNADEEP SUPERMARKET HYDERABAD,Groceries
79,UPI-MILK BASKET-milkbasket@hdfc-Morning Milk and Bread,Groceries
80,POS MODERN BAZAAR SAKET NEW DELHI,Groceries
81,UPI/DR/998844332211/bbnow@hdfcbank/BigBasket Instant,Groceries
82,POS SPAR HYPERMARKET BANNERGHATTA ROAD,Groceries
83,UPI-NILGIRIS 1905-nilgiris@okaxis-Groceries and Dairy,Groceries
84,POS METRO CASH AND CARRY YESHWANTHPUR,Groceries
85,UPI/DR/667788223344/otipy@kotak/Fresh Fruits and Vegetables,Groceries
86,POS EASYDAY CLUB SUPERMARKET NOIDA,Groceries
87,UPI-LUCKNOW FRESH VEGETABLES-veggies@paytm,Groceries
88,POS RELIANCE SMART POINT HSR LAYOUT,Groceries
89,UPI/DR/554411998822/jiomart@icici/JioMart Grocery Order,Groceries
90,POS MK RETAIL SUPERMARKET INDIRANAGAR,Groceries
91,UPI-FARMLEY DRY FRUITS-farmley@hdfcbank-Cashews & Almonds,Groceries
92,POS GODREJ NATURES BASKET BANDRA WEST MUMBAI,Groceries
93,UPI/DR/112244668800/licious@axisbank/Fresh Chicken and Eggs,Groceries
94,POS HERITAGE FRESH SUPERMARKET CHENNAI,Groceries
95,UPI-DEALSHARE-dealshare@icici-Wholesale Grocery Staples,Groceries
96,POS SMART BAZAAR PHOENIX MARKETCITY PUNE,Groceries
97,UPI/DR/990022446688/deepakgroceries@ybl/Rice and Dals,Groceries
98,POS DORABJEES SUPERMARKET CAMP PUNE,Groceries
99,UPI-ANNAPOORNA KIRANA STORE-anna@okicici-Monthly Ration,Groceries
100,POS HAJEE APEX SUPERMARKET COCHIN,Groceries
101,UPI/DR/335577991133/shreeganeshstore@sbi/Provisions,Groceries
102,POS VIJETHA SUPERMARKET GACHIBOWLI HYDERABAD,Groceries
103,UPI-SHREE BALAJI TRADERS-balaji@paytm-Atta Sugar Oil,Groceries
104,POS LE MARCHÉ GOURMET GROCERY GURGAON,Groceries
105,UPI/DR/779911335577/freshcart@kotak/Organic Vegetables,Groceries
106,POS HYPERCITY RETAIL MALAD MUMBAI,Groceries
107,UPI-KERALA SPICES TRADERS-spices@hdfcbank-Cardamom Pepper,Groceries
108,POS PATANJALI MEGA STORE HARIDWAR,Groceries
109,UPI/DR/224466880022/bengalurufresh@axis/Daily Essentials,Groceries
110,POS SUVIDHA SUPERMARKET AHMEDABAD,Groceries
111,UPI-SARAVANA STORES GROCERY-saravana@icici-Ration Supplies,Groceries
112,POS FRESH SIGNATURE SUPERMARKET BEL ROAD,Groceries
113,UPI/DR/446688002244/meatandpoultry@paytm/Fresh Meat,Groceries
114,POS NATURES BASKET KOREGAON PARK PUNE,Groceries
115,UPI-BROWN TREE NUTS-browntree@okaxis-Dry Fruits & Seeds,Groceries
116,POS GREEN CHICK CHOP DEFENCE COLONY DELHI,Groceries
117,UPI/DR/880022446688/kisanmandir@sbi/Vegetable Market Mandi,Groceries
118,POS SUBHIKSHA GROCERY OUTLET T NAGAR,Groceries
119,UPI-ORGANIC WORLD-organic@hdfcbank-Organic Millets & Honey,Groceries
120,POS RELIANCE FRESH JAYANAGAR 4TH BLOCK BANGALORE,Groceries
121,UPI/DR/223344556677/tatapower@billdesk/Electricity Bill,Utilities
122,UPI/DR/445566778899/bescom@billdesk/Bescom Bangalore Power,Utilities
123,ACH-DEBIT-TATAPOWER-ELECTRICITY CONSUMER 88921,Utilities
124,UPI/DR/667788990011/airtel@paytm/Airtel Broadband Bill,Utilities
125,UPI/DR/889900112233/jiofibrepymt@jio/JioFiber Postpaid,Utilities
126,BIL/BESCOM/001928301928/ELECTRICITY BILL PAYMENT,Utilities
127,UPI-MAHAVITARAN-mseb@sbi-POWER BILL PAYMENT,Utilities
128,UPI/DR/102938475610/adanielectricity@axis/Mumbai Power Bill,Utilities
129,UPI/DR/203948576102/bwssb@icici/Water Supply Bengaluru,Utilities
130,UPI/DR/304958671203/igl@hdfcbank/Indraprastha Gas Bill,Utilities
131,UPI/DR/405968782314/mahanagargas@icici/MGL Piped Gas Bill,Utilities
132,UPI/DR/506978893425/actbroadband@icici/ACT Fibernet Internet,Utilities
133,ACH/CREDIT-DEBIT/TORRENT POWER AHMEDABAD,Utilities
134,UPI-BSES RAJDHANI-bses@icici-DELHI ELECTRICITY BILL,Utilities
135,BIL/KSEB/KERALA STATE ELECTRICITY BOARD BILL,Utilities
136,UPI/DR/607989904536/hathway@axis/Hathway Cable & Internet,Utilities
137,UPI-DELHI JAL BOARD-djb@sbi-Water Utility Bill,Utilities
138,ACH-DEBIT-GAIL GAS LIMITED-CNG PIPED UTILITY,Utilities
139,UPI/DR/708990015647/tnebonline@icici/TNEB Electricity Bill,Utilities
140,BIL/WBSEDCL/WEST BENGAL POWER UTILITY PAYMENT,Utilities
141,UPI-VODAFONE IDEA-vi@paytm-Vi Postpaid Mobile Bill,Utilities
142,UPI/DR/809901126758/airtelpostpaid@airtel/Airtel Black Bill,Utilities
143,ACH/PSPCL/PUNJAB STATE POWER CORP ELECTRICITY,Utilities
144,UPI-BHARAT PETROLEUM LPG-bpcl@billdesk-Gas Cylinder,Utilities
145,UPI/DR/910912237869/indane@indianrail/Indane Gas Refill Booking,Utilities
146,BIL/DHBVN/HARYANA BIJLI VITRAN ELECTRICITY BILL,Utilities
147,UPI-HPCL LPG GAS CYLINDER-hpcl@okaxis-Cooking Gas Refill,Utilities
148,ACH-DEBIT-EXCEL FIBERNET-BROADBAND MONTHLY DUE,Utilities
149,UPI/DR/121923348970/cescbengal@icici/CESC Kolkata Power,Utilities
150,UPI-MUNICIPAL CORP WATER TAX-mcgm@sbi-BMC Water Dues,Utilities
151,BIL/APDCL/ASSAM POWER DISTRIBUTION COMPANY,Utilities
152,UPI/DR/232934459081/gtplbroadband@kotak/GTPL Cable Net,Utilities
153,ACH-DEBIT-MAHANAGAR GAS LIMITED-PIPED GAS BILL,Utilities
154,UPI-BSES YAMUNA-bsesyamuna@axis-Power Bill East Delhi,Utilities
155,BIL/UPPCL/UTTAR PRADESH POWER BILL ONLINE PAYMENT,Utilities
156,UPI/DR/343945560192/spectranet@icici/Spectra Fiber Internet,Utilities
157,UPI-HARYANA SHEHRI VIKAS WATER BILL-hsvpbill@sbi,Utilities
158,ACH/DEBIT/ADANI GAS PIPED PNG UTILITY PAYMENT,Utilities
159,UPI/DR/454956671203/jiohome@jio/Jio AirFiber Bill,Utilities
160,BIL/TSSPDCL/TELANGANA SOUTHERN POWER DISTRIBUTION,Utilities
161,UPI-KPTCL-kptcl@okaxis-Karnataka Power Transmission,Utilities
162,UPI/DR/565967782314/asianetbroadband@icici/Asianet Cable Net,Utilities
163,ACH/DEBIT/SMILE BROADBAND MONTHLY SUBSCRIPTION,Utilities
164,UPI-CHANDIGARH ELECTRICITY DEPT-chdpower@sbi,Utilities
165,BIL/MPPKVVCL/MADHYA PRADESH BIJLI BILL PMT,Utilities
166,UPI/DR/676978893425/tatatele@hdfcbank/Tata Play Fiber Net,Utilities
167,UPI-TAMIL NADU WATER BOARD-twad@kotak-Water Tax Payment,Utilities
168,ACH-DEBIT-CONNECT BROADBAND PUNJAB UTILITY,Utilities
169,UPI/DR/787989904536/bSNLbill@sbi/BSNL Landline Fiber,Utilities
170,BIL/CSPDCL/CHHATTISGARH STATE POWER UTILITY,Utilities
171,UPI-PUNE MUNICIPAL CORP-pmcwater@icici-Water Meter Bill,Utilities
172,UPI/DR/898990015647/denbroadband@axis/Den Cable Broadband,Utilities
173,ACH/DEBIT/SITI BROADBAND CALCUTTA INTERNET,Utilities
174,UPI-JAIPUR VIDYUT VITRAN-jvvnl@hdfcbank-Rajasthan Power,Utilities
175,BIL/SBPDCL/BIHAR POWER DISTRIBUTION BILL,Utilities
176,UPI/DR/909901126758/youbroadband@icici/YOU Broadband Bill,Utilities
177,UPI-AHMEDABAD MUNICIPAL TAX-amc@billdesk-Conservancy Water,Utilities
178,ACH-DEBIT-NETPLUS BROADBAND LUDHIANA INTERNET,Utilities
179,UPI/DR/120912237869/tikona@kotak/Tikona Infinet Broadband,Utilities
180,BIL/BESCOM/BENGALURU ELECTRICITY ESCROW PAYMENT,Utilities
181,UPI/412891283912/Uber India/uber@axis/Payment,Transport
182,UPI/DR/304958671203/ola@axisbank/Ola Cabs Ride Fare,Transport
183,UPI/DR/405968782314/rapido@icici/Rapido Bike Taxi,Transport
184,POS TRAN/SHELL PETROL PUMP WHITEFIELD/BANGALORE,Transport
185,POS 411111XXXXXX1111 HPCL AUTO CARE FUEL STATION,Transport
186,POS 522222XXXXXX2222 IOCL PETROL BUNK PUNE,Transport
187,POS BHARAT PETROLEUM FUEL STATION INDIRANAGAR,Transport
188,UPI/DR/506978893425/nammametro@sbi/BMRCL Metro Recharge,Transport
189,UPI/DR/607989904536/irctc@hdfcbank/Train Ticket Booking,Transport
190,UPI/DR/708990015647/indigo@icici/IndiGo Airlines Flight,Transport
191,NETC FASTAG RECHARGE NHAI TOLL PAYMENT,Transport
192,UPI-FASTAG-icici-fastag@icici-Toll Plaza Electronic,Transport
193,POS AIR INDIA BOOKING GURGAON,Transport
194,UPI/DR/809901126758/makemytrip@icici/Flight Ticket Booking,Transport
195,POS DELHI METRO DMRC SMART CARD TOP UP,Transport
196,UPI-REDBUS-redbus@hdfcbank-Intercity Bus Ticket,Transport
197,POS SPICEJET AIRLINES GURUGRAM,Transport
198,UPI/DR/910912237869/akasaair@axis/Akasa Air Flight Tickets,Transport
199,POS NAYARA ENERGY FUEL OUTLET HIGHWAY,Transport
200,UPI-ABHIBUS-abhibus@icici-Sleeper Bus Booking,Transport
201,POS MAHA METRO PUNE SMART CARD RECHARGE,Transport
202,UPI/DR/121923348970/blusmart@icici/BluSmart Electric Mobility,Transport
203,POS RELIANCE PETROLEUM PETROL PUMP GUJARAT,Transport
204,UPI-KSRTC ONLINE-ksrtc@sbi-Airavat Club Class Bus,Transport
205,POS MUMBAI METRO ONE MMOPL GHATKOPAR,Transport
206,UPI/DR/232934459081/clear-trip@icici/Cleartrip Flight Ticket,Transport
207,POS IGI AIRPORT CAR PARKING NEW DELHI,Transport
208,UPI-YULU BIKES-yulu@axis-Miracle EV Bike Rental,Transport
209,POS HYDERABAD METRO RAIL L&T METRO RECHARGE,Transport
210,UPI/DR/343945560192/zoomcar@hdfcbank/Self Drive Car Rental,Transport
211,POS AIRASIA INDIA FLIGHT BOOKING BENGALURU,Transport
212,UPI-MSRTC ONLINE-msrtc@mahagov-Shivneri Bus Booking,Transport
213,POS TOTAL ENERGIES PETROL BUNK BANGALORE,Transport
214,UPI/DR/454956671203/ixigo@icici/Train Tatkal Ticket Booking,Transport
215,POS BANGALORE AIRPORT KIA PARKING SERVICES,Transport
216,UPI-EASEMYTRIP-easemytrip@hdfcbank-Air Ticket Fare,Transport
217,POS CHENNAI METRO RAIL CMRL SMART CARD,Transport
218,UPI/DR/565967782314/myfastag@paytm/Paytm FASTag Highway Toll,Transport
219,POS ESSAR OIL PETROL STATION RAJASTHAN,Transport
220,UPI-BOUNCE SHARE-bounce@okaxis-Scooter Rental Fare,Transport
221,POS MUMBAI AIRPORT T2 MULTILEVEL PARKING,Transport
222,UPI/DR/676978893425/airindiaexpress@axis/Flight Tickets,Transport
223,POS GUJARAT GAS AUTO LPG FUEL STATION,Transport
224,UPI-TSRTC BUS-tsrtc@icici-Garuda Plus Bus Booking,Transport
225,POS KOCHI METRO WATER METRO TICKET RECHARGE,Transport
226,UPI/DR/787989904536/jugnoo@paytm/Jugnoo Auto Rickshaw Ride,Transport
227,POS IGL CNG STATION DWARKA NEW DELHI,Transport
228,UPI-REVVMOBILITY-revv@hdfcbank-Car Subscription Rental,Transport
229,POS KOLKATA METRO RVNL TOKEN RECHARGE,Transport
230,UPI/DR/898990015647/vantarides@icici/Airport Taxi Transfer,Transport
231,POS TOLL PLAZA KIAL EXPRESSWAY DEVANAHALLI,Transport
232,UPI-MYTRAIN-railyatri@kotak-Train Journey Ticket,Transport
233,POS JIO-BP AUTO FUEL STATION HIGHWAY,Transport
234,UPI/DR/909901126758/chaloapp@axis/Chalo City Bus Pass,Transport
235,POS NOIDA METRO NMRC AQUA LINE RECHARGE,Transport
236,UPI-GOIBIBO-goibibo@icici-Flight & Hotel Travel,Transport
237,POS ADANI TOTAL CNG GAS STATION AHMEDABAD,Transport
238,UPI/DR/120912237869/starbus@paytm/City Volvo Bus Ticket,Transport
239,POS BANGALORE METRO NIDHI PASS COUNTER,Transport
240,UPI-UBER RIDE FARE-uber.india@hdfcbank-Premier Trip,Transport
241,UPI/CR/412345678901/swiggy@icici/Swiggy Order/UPI,Dining
242,UPI-SWIGGY-swiggy@icici-412345678901,Dining
243,UPI/DR/123456789012/paytm-12345@paytm/Zomato Ltd,Dining
244,UPI-ZOMATO-zomato@hdfcbank-Restaurant Food Order,Dining
245,UPI/DR/809901126758/starbucks@icici/Tata Starbucks Cafe,Dining
246,UPI/DR/910912237869/mcdonalds@hdfcbank/Hardcastle Restaurants,Dining
247,UPI/DR/121923348970/dominos@icici/Jubilant FoodWorks Pizza,Dining
248,UPI/DR/232934459081/chai-point@icici/Mountain Trail Foods,Dining
249,UPI/DR/343945560192/third-wave@axis/Third Wave Coffee Roasters,Dining
250,POS BARBEQUE NATION HOSPITALITY BANGALORE,Dining
251,POS MAINLAND CHINA RESTAURANT PUNE,Dining
252,UPI-TOIT BREWPUB-toit@okaxis-Craft Beer and Food,Dining
253,POS SOCIAL CHURCH STREET RESTAURANT BANGALORE,Dining
254,UPI-THEOBROMA-theobroma@hdfcbank-Bakery and Pastries,Dining
255,POS PIZZA HUT DEVYANI INTERNATIONAL NOIDA,Dining
256,UPI/DR/454956671203/burgerking@icici/Restaurant Brands Asia,Dining
257,POS SUBWAY RESTAURANTS KORAMANGALA BENGALURU,Dining
258,UPI-HALDIRAMS-haldirams@hdfc-Sweets and Savouries,Dining
259,POS KFC YUM RESTAURANTS PHOENIX PUNE,Dining
260,UPI/DR/565967782314/blue-tokai@icici/Specialty Coffee Roasters,Dining
261,POS TACO BELL BURMAN HOSPITALITY DELHI,Dining
262,UPI-CHAAYOS-chaayos@axisbank-Sunshine Teahouse Pvt Ltd,Dining
263,POS CAFE COFFEE DAY INDIRANAGAR BANGALORE,Dining
264,UPI/DR/676978893425/biryanibykilo@icici/BBK Handi Biryani,Dining
265,POS PUNJAB GRILL LITE BITE FOODS GURGAON,Dining
266,UPI-EATSURE-eatsure@hdfcbank-Rebel Foods Behrouz Ovenstory,Dining
267,POS BEER CAFE BTB MARKETING CONNAUGHT PLACE,Dining
268,UPI/DR/787989904536/bikanervala@kotak/Sweets and Thali Dining,Dining
269,POS MAMAGOTO RESTAURANT INDIRANAGAR,Dining
270,UPI-PARADISE BIRYANI-paradise@icici-Hyderabadi Dum Biryani,Dining
271,POS HARD ROCK CAFE WHITEFIELD BENGALURU,Dining
272,UPI/DR/898990015647/karachi-bakery@axis/Fruit Biscuits & Pastry,Dining
273,POS CHILI'S AMERICAN GRILL & BAR ORION MALL,Dining
274,UPI-SARAVANA BHAVAN-hsb@hdfcbank-South Indian Tiffin,Dining
275,POS SMOKE HOUSE DELI LAVELLE ROAD BANGALORE,Dining
276,UPI/DR/909901126758/anand-sweets@icici/Kaju Katli and Mithai,Dining
277,POS COPPER CHIMNEY RESTAURANT WORLI MUMBAI,Dining
278,UPI-NATURAL ICE CREAM-natural@kotak-Artisanal Ice Creams,Dining
279,POS KYLINCUP RESTAURANT CHENNAI,Dining
280,UPI/DR/120912237869/dunkin-donuts@axis/Donuts and Iced Coffee,Dining
281,POS FARZI CAFE CYBER HUB GURUGRAM,Dining
282,UPI-WOW MOMO-wowmomo@icici-Wow Momo Foods Pvt Ltd,Dining
283,POS AB'S ABSOLUTE BARBECUES MARATHAHALLI,Dining
284,UPI/DR/231923348970/wendys@hdfcbank/Sierra Nevada Burgers,Dining
285,POS BASTIAN RESTAURANT BANDRA MUMBAI,Dining
286,UPI-LEON GRILL-leongrill@okaxis-Jumbo Fried Chicken,Dining
287,POS VAISHALI RESTAURANT FC ROAD PUNE,Dining
288,UPI/DR/342934459081/truffles@icici/Ice & Spice Burger Cafe,Dining
289,POS SHIRO PAN ASIAN RESTAURANT UB CITY,Dining
290,UPI-BELGIAN WAFFLE-waffle@paytm-Bloombay Enterprises,Dining
291,POS BOMBAY CANTEEN LOWER PAREL MUMBAI,Dining
292,UPI/DR/453945560192/wendysburgers@sbi/Fast Food Order,Dining
293,POS ROASTERY COFFEE HOUSE HYDERABAD,Dining
294,UPI-A2B ADYAR ANANDA BHAVAN-a2b@hdfcbank-Ghee Dosa,Dining
295,POS MONKEY BAR INDIRANAGAR BENGALURU,Dining
296,UPI/DR/564956671203/costa-coffee@axis/Devyani Costa Latte,Dining
297,POS KARAVALLI GATEWAY HOTEL RESIDENCY ROAD,Dining
298,UPI-KRISPY KREME-krispykreme@icici-Glazed Doughnuts,Dining
299,POS OLIVE BAR & KITCHEN MEHRAULI DELHI,Dining
300,UPI/DR/675967782314/papadums@paytm/Family Dining Thali,Dining
301,UPI/DR/123498765432/amazonpay@icici/Amazon Seller Retail,Shopping
302,ECOM PUR/AMAZON PAY INDIA/SEATTLE/02-05-2025,Shopping
303,UPI/DR/987612345678/flipkart@axis/Flipkart Internet Pvt Ltd,Shopping
304,UPI/DR/456789012345/myntra@icici/Fashion Online,Shopping
305,UPI/DR/678901234567/nykaa@hdfcbank/Nykaa Cosmetics,Shopping
306,POS ZARA PHOENIX MARKETCITY BANGALORE,Shopping
307,POS PURCHASE AT MAX FASHION KORAMANGALA,Shopping
308,POS UNIQLO VEGAS MALL NEW DELHI,Shopping
309,POS CROMA ELECTRONICS INFINITI RETAIL,Shopping
310,POS RELIANCE DIGITAL ELECTRONICS STORE,Shopping
311,UPI-AJIO-ajio@hdfcbank-Reliance Retail Apparel,Shopping
312,POS DECATHLON SPORTS INDIA SARJAPUR,Shopping
313,POS H&M HENNES & MAURITZ FORUM KORAMANGALA,Shopping
314,UPI/DR/809901126758/meesho@icici/Meesho Fashion & Home,Shopping
315,POS LIFESTYLE INTERNATIONAL OASIS MALL,Shopping
316,UPI-TATA CLIQ-tatacliq@axis-Electronics & Luxury,Shopping
317,POS SHOPPERS STOP LTD GURGAON,Shopping
318,UPI/DR/910912237869/urbanic@hdfcbank/Urbanic London Clothing,Shopping
319,POS VIJAY SALES ELECTRONICS BANDRA,Shopping
320,UPI-PURPLLE-purplle@icici-Beauty and Skincare,Shopping
321,POS MARKS & SPENCER UB CITY BENGALURU,Shopping
322,UPI/DR/121923348970/snitch@kotak/Snitch Menswear Online,Shopping
323,POS IFFCO HOME CENTRE KORAMANGALA,Shopping
324,UPI-IKEA INDIA-ikea@hdfcbank-Furniture & Home Decor,Shopping
325,POS PANTALOONS ADITYA BIRLA FASHION,Shopping
326,UPI/DR/232934459081/bewakoof@icici/Bewakoof Brands Clothing,Shopping
327,POS WESTSIDE TRENT LIMITED INDIRANAGAR,Shopping
328,UPI-SOULED STORE-thesouledstore@axis-Graphic T-Shirts,Shopping
329,POS POORVIKA MOBILES ELECTRONICS CHENNAI,Shopping
330,UPI/DR/343945560192/boatlifestyle@hdfcbank/Imagine Boat Audio,Shopping
331,POS TITAN EYE PLUS SPECTACLES KORAMANGALA,Shopping
332,UPI-NOISE-noise@icici-Nexxbase Smartwatches Online,Shopping
333,POS TANISHQ JEWELLERY TITAN COMPANY,Shopping
334,UPI/DR/454956671203/lenskart@axis/Lenskart Eyewear Solutions,Shopping
335,POS FABINDIA OVERSEAS ETHNIC WEAR,Shopping
336,UPI-MAMAEARTH-mamaearth@hdfcbank-Honasa Consumer Care,Shopping
337,POS SANGEETHA MOBILES BANGALORE,Shopping
338,UPI/DR/565967782314/sugarcosmetics@icici/Vellvette Cosmetics,Shopping
339,POS BATA INDIA FOOTWEAR COMMERCIAL STREET,Shopping
340,UPI-HAMLEYS-hamleys@reliance-Reliance Toys Retail,Shopping
341,POS WOODLAND AERO CLUB BRIGADE ROAD,Shopping
342,UPI/DR/676978893425/fireboltt@kotak/Boltt Smartwatches,Shopping
343,POS RAYMOND SHOP SUITING AND SHIRTING,Shopping
344,UPI-PEPPERFRY-pepperfry@icici-Home Wooden Furniture,Shopping
345,POS ALLEN SOLLY ADITYA BIRLA GARMENTS,Shopping
346,UPI/DR/787989904536/wakefit@axis/Wakefit Mattress & Furniture,Shopping
347,POS METRO SHOES LIMITED CONNAUGHT PLACE,Shopping
348,UPI-URBAN LADDER-urbanladder@hdfcbank-Solid Wood Furniture,Shopping
349,POS SKECHERS FOOTWEAR PHOENIX MARKETCITY,Shopping
350,UPI/DR/898990015647/noisefit@paytm/Noise Buds Wireless,Shopping
351,POS MANGO FASHION STORE SELECT CITYWALK,Shopping
352,UPI-LILLIPUT TOYS-lilliput@icici-Kids Apparel and Toys,Shopping
353,POS MALABAR GOLD AND DIAMONDS PUNE,Shopping
354,UPI/DR/909901126758/zebrs@kotak/Consumer Electronics Gadgets,Shopping
355,POS CROCS RETAIL STORE FORUM SOUTH BENGALURU,Shopping
356,UPI-APRON FASHIONS-apron@axis-Kitchenware and Linens,Shopping
357,POS WILD惠CRAFT OUTDOOR GEAR MALL ROAD,Shopping
358,UPI/DR/120912237869/caratlane@hdfcbank/Titan CaratLane Jewelry,Shopping
359,POS LEVI'S BRAND STORE INDIRANAGAR BANGALORE,Shopping
360,UPI-SUPERDRY-superdry@reliance-Reliance Superdry Retail,Shopping
361,UPI/DR/112233445566/bookmyshow@icici/PVR Cinema Tickets,Entertainment
362,POS PVR CINEMAS ORION MALL RAJAJINAGAR,Entertainment
363,POS INOX LEISURE FORUM MALL BANGALORE,Entertainment
364,UPI-BOOKMYSHOW-bms@hdfcbank-Movie Ticket Booking,Entertainment
365,UPI/DR/443322110099/insider@kotak/Wasteland Music Festival,Entertainment
366,POS CINEPOLIS SEASONS MALL PUNE,Entertainment
